model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
asymmetry,0.33665600403122486,19.34903588113012,,,3170,44,False,"{""beta_pos_median"": 19.34903588113012, ""beta_neg_median"": -10.192380361511205, ""asymmetry_ratio_median"": 0.32436956321411864, ""wald_p_median"": 0.21934950805065423}",N-AB,A+B,ME,raw,SPY,45.614090817493455
relative_performance,0.34774892958619724,,,,3170,44,False,"{""r2_absolute_median"": 0.17752345949224568, ""r2_excess_median"": 0.2012387002509669, ""r2_combined_median"": 0.34774892958619724}",N-AB,A+B,ME,raw,SPY,-76.44512394771542
granger,,,0.447524639545716,0.5871493822711151,0,41,False,"{""pct_significant_lag1"": 0.0975609756097561}",N-AB,A+B,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 4.51515450817455e-15, ""best_month"": 1, ""worst_month"": 2}",N-AB,A+B,ME,raw,SPY,
drawdown,0.007294768019173614,-0.6682459676835456,0.4258352216526179,,524,41,False,"{""1m"": {""beta_depth"": -0.6682459676835456, ""beta_depth_p"": 0.4258352216526179, ""r2"": 0.007294768019173614}, ""2m"": {""beta_depth"": -1.8729040969995383, ""beta_depth_p"": 0.044666337450108354, ""r2"": 0.04224112658026302}, ""3m"": {""beta_depth"": -2.7073567617395127, ""beta_depth_p"": 0.013596838508247822, ""r2"": 0.0761907193175333}, ""6m"": {""beta_depth"": -0.3815295145604205, ""beta_depth_p"": 0.8784541711660346, ""r2"": 0.03575599375701377}}",N-AB,A+B,ME,raw,SPY,-123.171861330722
univariate_r2_by_lag,0.0247310925849763,128.50201944627847,0.22543069631416657,,44,44,False,"{""best_lag"": 2, ""best_r2"": 0.02587850820425136}",N-AC,A+C,ME,raw,SPY,11.984427974717216
multilag_ols,0.07876441789300209,146.53815092492573,0.22064087936094776,0.09994692303402211,3494,44,False,{},N-AC,A+C,ME,raw,SPY,-19.53829068522539
multilag_ols_month_fe,0.222953556927234,123.81165491795036,0.18809564455573707,0.2674667928449472,3494,44,False,{},N-AC,A+C,ME,raw,SPY,338.52312965293396
cross_correlation,,0.14077720170742947,0.22543069631416623,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.14077720170742947}",N-AC,A+C,ME,raw,SPY,
panel_pooled,0.04021346108645607,296.01427285625175,0.0033074842692337736,48.76653292337901,3494,44,True,"{""r2_overall"": 0.040233098180254, ""r2_between"": 0.009667833546577298}",N-AC,A+C,ME,raw,SPY,51.169427195602026
panel_entity_fe,0.04021565455593268,293.0717226652407,0.0034158976175255873,48.14392660612477,3494,44,True,"{""r2_overall"": 0.04023095943290678, ""r2_between"": 0.00957413181851896}",N-AC,A+C,ME,raw,SPY,51.183854346732446
panel_entity_time_fe,0.040185845441182755,298.30502540847226,0.01619975301124099,26.237011458673287,3494,44,True,"{""r2_overall"": 0.04021013855602251, ""r2_between"": 0.010526269754207451}",N-AC,A+C,ME,raw,SPY,56.29466868588451
panel_entity_fe_excess,0.04021565455593268,293.0717226652407,0.0034158976175255873,48.14392660612477,3494,44,True,"{""r2_overall"": 0.04023095943290678, ""r2_between"": 0.00957413181851896}",N-AC,A+C,ME,raw,SPY,-21.05906399002988
panel_entity_fe_controls,0.04049125848311341,296.50468027672537,0.002422629616914973,36.35529065431467,3494,44,True,"{""r2_overall"": 0.03952507860138721, ""r2_between"": 0.010651489666461011}",N-AC,A+C,ME,raw,SPY,44.385300111315914
asymmetry,0.36914417106815683,76.92169975012199,,,3170,44,False,"{""beta_pos_median"": 76.92169975012199, ""beta_neg_median"": 96.35003262470565, ""asymmetry_ratio_median"": 0.7848654716115595, ""wald_p_median"": 0.05285799216010805}",N-AC,A+C,ME,raw,SPY,370.4957611868132
relative_performance,0.412961231931474,,,,3170,44,False,"{""r2_absolute_median"": 0.2079703178542815, ""r2_excess_median"": 0.24972140301386148, ""r2_combined_median"": 0.412961231931474}",N-AC,A+C,ME,raw,SPY,575.6778995050521
granger,,,0.38702685659650093,0.7538359182964018,0,41,False,"{""pct_significant_lag1"": 0.07317073170731707}",N-AC,A+C,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 58.62651739130434, ""best_month"": 1, ""worst_month"": 8}",N-AC,A+C,ME,raw,SPY,
drawdown,0.004964979948216763,-0.22275489736596502,0.7860682369609197,,524,41,False,"{""1m"": {""beta_depth"": -0.22275489736596502, ""beta_depth_p"": 0.7860682369609197, ""r2"": 0.004964979948216763}, ""2m"": {""beta_depth"": -1.2519881020193604, ""beta_depth_p"": 0.1537019848138771, ""r2"": 0.023606854884341444}, ""3m"": {""beta_depth"": -1.2153676280656354, ""beta_depth_p"": 0.25520960473181525, ""r2"": 0.01576364126374341}, ""6m"": {""beta_depth"": 2.657967687025449, ""beta_depth_p"": 0.28210887611797125, ""r2"": 0.00863092911193597}}",N-AC,A+C,ME,raw,SPY,-146.4697420402905
univariate_r2_by_lag,0.0247310925849763,128.50201944627847,0.22543069631416657,,44,44,False,"{""best_lag"": 2, ""best_r2"": 0.02587850820425136}",N-AD,A+D,ME,raw,SPY,11.984427974717216
multilag_ols,0.07876441789300209,146.53815092492573,0.22064087936094776,0.09994692303402211,3494,44,False,{},N-AD,A+D,ME,raw,SPY,-19.53829068522539
multilag_ols_month_fe,0.222953556927234,123.81165491795036,0.18809564455573707,0.2674667928449472,3494,44,False,{},N-AD,A+D,ME,raw,SPY,338.52312965293396
cross_correlation,,0.14077720170742947,0.22543069631416623,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.14077720170742947}",N-AD,A+D,ME,raw,SPY,
panel_pooled,0.04021346108645607,296.01427285625175,0.0033074842692337736,48.76653292337901,3494,44,True,"{""r2_overall"": 0.040233098180254, ""r2_between"": 0.009667833546577298}",N-AD,A+D,ME,raw,SPY,51.169427195602026
