lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
10,,-inf,,,,IZRL
11,,-inf,,,,IZRL
12,,-inf,,,,IZRL
13,,inf,,,,IZRL
1,,-inf,,,,JUST
2,,inf,,,,JUST
3,,-inf,,,,JUST
4,,-inf,,,,JUST
5,,inf,,,,JUST
6,,-inf,,,,JUST
7,,inf,,,,JUST
8,,-inf,,,,JUST
9,,-inf,,,,JUST
10,,-inf,,,,JUST
11,,-inf,,,,JUST
12,,-inf,,,,JUST
1,,-inf,,,,KOMP
2,,inf,,,,KOMP
3,,inf,,,,KOMP
4,,-inf,,,,KOMP
5,,inf,,,,KOMP
6,,inf,,,,KOMP
7,,inf,,,,KOMP
8,,inf,,,,KOMP
9,,-inf,,,,KOMP
10,,-inf,,,,KOMP
11,,-inf,,,,KOMP
1,,,,,,LIT
2,,,,,,LIT
3,,,,,,LIT
4,,,,,,LIT
5,,,,,,LIT
6,,,,,,LIT
7,,,,,,LIT
8,,-inf,,,,LIT
9,,,,,,LIT
10,,,,,,LIT
11,,,,,,LIT
12,,-inf,,,,LIT
13,,inf,,,,LIT
14,,inf,,,,LIT
15,,,,,,LIT
16,,,,,,LIT
17,,,,,,LIT
18,,inf,,,,LIT
19,,inf,,,,LIT
20,,-inf,,,,LIT
1,,,,,,MOO
2,,,,,,MOO
3,,,,,,MOO
4,,,,,,MOO
5,,,,,,MOO
6,,-inf,,,,MOO
7,,,,,,MOO
8,,,,,,MOO
9,,,,,,MOO
10,,,,,,MOO
11,,,,,,MOO
12,,-inf,,,,MOO
13,,inf,,,,MOO
14,,,,,,MOO
15,,,,,,MOO
16,,,,,,MOO
17,,-inf,,,,MOO
18,,inf,,,,MOO
19,,inf,,,,MOO
20,,-inf,,,,MOO
1,,inf,,,,MSOS
2,,inf,,,,MSOS
3,,-inf,,,,MSOS
4,,inf,,,,MSOS
5,,-inf,,,,MSOS
6,,inf,,,,MSOS
7,,inf,,,,MSOS
1,,,,,,NFRA
2,,,,,,NFRA
3,,,,,,NFRA
4,,-inf,,,,NFRA
5,,,,,,NFRA
6,,,,,,NFRA
7,,,,,,NFRA
8,,-inf,,,,NFRA
9,,,,,,NFRA
10,,,,,,NFRA
11,,,,,,NFRA
12,,,,,,NFRA
13,,inf,,,,NFRA
14,,,,,,NFRA
15,,,,,,NFRA
16,,,,,,NFRA
17,,,,,,NFRA
18,,inf,,,,NFRA
19,,inf,,,,NFRA
20,,-inf,,,,NFRA
1,,,,,,PAVE
2,,,,,,PAVE
3,,,,,,PAVE
4,,,,,,PAVE
5,,inf,,,,PAVE
6,,-inf,,,,PAVE
7,,inf,,,,PAVE
8,,inf,,,,PAVE
9,,-inf,,,,PAVE
10,,-inf,,,,PAVE
11,,-inf,,,,PAVE
12,,-inf,,,,PAVE
13,,inf,,,,PAVE
14,,inf,,,,PAVE
1,,,,,,PBW
2,,,,,,PBW
3,,,,,,PBW
4,,,,,,PBW
5,,,,,,PBW
6,,,,,,PBW
7,,,,,,PBW
8,,inf,,,,PBW
9,,,,,,PBW
10,,,,,,PBW
11,,,,,,PBW
12,,-inf,,,,PBW
13,,,,,,PBW
14,,,,,,PBW
15,,,,,,PBW
16,,inf,,,,PBW
17,,inf,,,,PBW
18,,inf,,,,PBW
19,,inf,,,,PBW
20,,-inf,,,,PBW
1,,,,,,PHO
2,,,,,,PHO
3,,-inf,,,,PHO
4,,-inf,,,,PHO
5,,,,,,PHO
6,,,,,,PHO
7,,,,,,PHO
8,,,,,,PHO
9,,,,,,PHO
10,,,,,,PHO
11,,,,,,PHO
12,,,,,,PHO
13,,,,,,PHO
14,,,,,,PHO
15,,,,,,PHO
16,,,,,,PHO
17,,,,,,PHO
18,,inf,,,,PHO
19,,inf,,,,PHO
20,,-inf,,,,PHO
1,,-inf,,,,PRNT
1,,-inf,,,,PWRD
1,,,,,,ROBO
2,,,,,,ROBO
3,,,,,,ROBO
4,,-inf,,,,ROBO
5,,,,,,ROBO
6,,,,,,ROBO
7,,,,,,ROBO
8,,,,,,ROBO
9,,,,,,ROBO
10,,,,,,ROBO
11,,,,,,ROBO
12,,,,,,ROBO
13,,,,,,ROBO
14,,inf,,,,ROBO
15,,,,,,ROBO
16,,,,,,ROBO
17,,,,,,ROBO
18,,inf,,,,ROBO
19,,inf,,,,ROBO
20,,-inf,,,,ROBO
1,,,,,,ROBT
2,,inf,,,,ROBT
3,,inf,,,,ROBT
4,,-inf,,,,ROBT
5,,inf,,,,ROBT
6,,inf,,,,ROBT
7,,inf,,,,ROBT
8,,-inf,,,,ROBT
9,,inf,,,,ROBT
10,,-inf,,,,ROBT
11,,-inf,,,,ROBT
12,,-inf,,,,ROBT
1,,-inf,,,,SAMT
1,,inf,,,,SIXG
2,,-inf,,,,SIXG
3,,-inf,,,,SIXG
4,,-inf,,,,SIXG
5,,inf,,,,SIXG
6,,-inf,,,,SIXG
7,,inf,,,,SIXG
8,,-inf,,,,SIXG
9,,inf,,,,SIXG
10,,-inf,,,,SIXG
1,,,,,,SUSA
2,,,,,,SUSA
3,,,,,,SUSA
4,,-inf,,,,SUSA
5,,,,,,SUSA
6,,,,,,SUSA
7,,,,,,SUSA
8,,,,,,SUSA
9,,,,,,SUSA
10,,,,,,SUSA
11,,,,,,SUSA
12,,,,,,SUSA
13,,,,,,SUSA
14,,,,,,SUSA
15,,,,,,SUSA
16,,,,,,SUSA
17,,,,,,SUSA
18,,inf,,,,SUSA
19,,inf,,,,SUSA
20,,-inf,,,,SUSA
1,,inf,,,,XT
2,,,,,,XT
3,,,,,,XT
4,,-inf,,,,XT
5,,,,,,XT
6,,,,,,XT
7,,,,,,XT
8,,,,,,XT
9,,,,,,XT
10,,,,,,XT
11,,,,,,XT
12,,,,,,XT
13,,inf,,,,XT
14,,inf,,,,XT
15,,-inf,,,,XT
16,,inf,,,,XT
17,,-inf,,,,XT
18,,inf,,,,XT
