window_end,n_obs,CumRet_1_5_beta,CumRet_1_5_se,CumRet_1_5_pval,CumRet_6_20_beta,CumRet_6_20_se,CumRet_6_20_pval,CumRet_21_60_beta,CumRet_21_60_se,CumRet_21_60_pval
2019-02-08,1007,31.287895285047085,20.347925543431472,0.1241353263252093,4.42447929759682,1.911098898149672,0.020604762177155116,0.868297494727504,0.12523544122021343,4.1107442999785304e-12
2019-02-11,1007,31.302040043040968,20.35642822633817,0.1241224600134931,4.418320802351802,1.910385433242002,0.02073417414908621,0.89889057440081,0.09149676519626543,8.849714502702417e-23
2019-02-12,1007,31.36617677596607,20.394543601093293,0.12405618329547306,4.414899144053887,1.913183724888186,0.021020335925100886,0.9004851863131321,0.07548158755349706,8.270702815198968e-33
2019-02-13,1007,31.46892242349398,20.469929144945855,0.12421387866399682,4.510561368652972,2.039672414286724,0.027007139307817094,0.8139438514165057,0.139971360325735,6.060698287911957e-09
2019-02-14,1007,31.525309444389677,20.523217857831057,0.12451870157489263,4.511164140381007,2.0499361237552445,0.027761771493690277,0.7984569985895106,0.1327288555809796,1.7911082653176717e-09
2019-02-15,1008,31.573497740363194,20.547595068097962,0.12439053940095614,4.546263749840055,2.0708443571773096,0.028137268959249357,0.7952422781479895,0.1118410552668288,1.1564986406876954e-12
2019-02-19,1008,31.634719607607185,20.502616668625656,0.12284045548663969,4.555155127595741,2.103326356186355,0.030334801134618856,0.7795459021623116,0.08560494078814188,8.52244470256305e-20
2019-02-20,1008,31.81723216141022,20.68761509826165,0.12405239524352413,4.608172787965213,2.1292688816657304,0.03044867637127183,0.7933948876832416,0.059316220285092355,8.388100358804945e-41
2019-02-21,1008,31.74030312746925,20.62844385946609,0.12388564455132092,4.57240538129985,2.08518080991127,0.028321069445924888,0.769043486545824,0.05667994831803113,6.184227693851737e-42
2019-02-22,1009,31.711404382241437,20.58343407133598,0.12340747328293197,4.375229167566106,1.8720310811233858,0.01943106036174705,0.7957386889363126,0.007707675566752849,0.0
2019-02-25,1009,31.656956151821152,20.5123036458545,0.12275424471428997,4.35422682988154,1.8255556516525042,0.017072088405291643,0.7917796046155648,0.0032750239202018728,0.0
2019-02-26,1009,31.53209480289457,20.460303523045084,0.12328387445603116,4.317391467992918,1.7903040731146018,0.01588527072860245,0.8019969011701111,0.01591834063644231,0.0
2019-02-27,1009,31.5112876717641,20.3694726821453,0.12186663809613549,4.293184556751216,1.718114330937214,0.012462270817790626,0.8051377184138244,0.035228938405033834,1.320078293104461e-115
2019-02-28,1009,31.432094780528274,20.357767616427328,0.12259188383242293,4.265817960819305,1.7065776069257386,0.012432197033645936,0.8450278620347145,0.059365994520808825,5.619668316291161e-46
2019-03-01,1010,31.29576016637549,20.254952185614595,0.12232406450079024,4.266887162663139,1.677193038524463,0.01095708695735046,0.8979277878365945,0.09639020197357127,1.2132182252216594e-20
2019-03-04,1010,31.237948791620763,20.257690453626665,0.1230665149519362,4.276576225338328,1.6787661593812586,0.010851277740555755,0.9528064519011185,0.11318992553320122,3.8372707381959305e-17
2019-03-05,1010,31.429446574706745,20.13302057675986,0.11850264045092279,4.4223924295046055,1.6780846238099625,0.008404287494891733,0.9104244664260012,0.13452035694812767,1.306372116805553e-11
2019-03-06,1010,31.527616114008914,20.116623777101765,0.11705815489960632,4.468603082818062,1.6994812386825766,0.008553759190927332,0.9364270446654019,0.1553561191276652,1.663957170460183e-09
2019-03-07,1010,31.57322560614358,20.113881612801315,0.11647953303446171,4.494694802689822,1.702397619009498,0.008285357971144122,0.9583773395098707,0.16903873587229093,1.4315440689368063e-08
2019-03-08,1011,31.55655938319972,20.040533701267243,0.11534033198412036,4.543580949196914,1.7340428815321753,0.008787200132851199,0.9874253707544284,0.1881688106547405,1.5413465440289756e-07
2019-03-11,1011,31.567304579277113,20.022762062419876,0.11489428635781077,4.576163767963136,1.7403501168468978,0.008552308520811451,1.010201926132797,0.1936644346119372,1.8258263493608966e-07
2019-03-12,1011,31.58644025966514,20.01078329803663,0.1144574552222231,4.737855310833341,1.8277018558063503,0.009535118572552464,1.0532174349939392,0.20917680713089837,4.777032309083705e-07
2019-03-13,1011,31.63527336129888,19.98841550848927,0.11349432889105293,4.943225326387077,1.9115706358787417,0.009711112851038555,1.0935871781473703,0.21236280214992145,2.6101837237713196e-07
2019-03-14,1011,31.649120826359457,19.881688225996857,0.11141326432815819,4.965612735005616,1.8632805012125218,0.007699198436220978,1.1236706496450255,0.2081442518126481,6.719334037391137e-08
2019-03-15,1012,31.54805642873677,19.777940140812063,0.11068688982345234,5.0081494938273465,1.8752050148158117,0.0075688518872188155,1.136563372638257,0.20829831545587255,4.858263569454452e-08
2019-03-18,1012,31.425981917812273,19.6576310785916,0.10989488735638672,4.978114151485956,1.840447718629622,0.006833757048974039,1.0864705649111837,0.15973386553703728,1.0335249975439429e-11
2019-03-19,1012,31.479062164725395,19.692567779133554,0.1099261832758702,4.999373299168218,1.8247374191341053,0.006148091518335062,1.1763034057799544,0.23167909753868843,3.8284376369946376e-07
2019-03-20,1012,31.494506519320794,19.73551784818298,0.11052703549334744,4.994432161785064,1.8627839448476535,0.00733662080494116,1.238032322295972,0.33683060138154347,0.0002373524412097906
2019-03-21,1012,31.561741876080497,19.67670943871277,0.10871069266183302,5.13377318031363,1.764412355082083,0.003618660085754179,1.4260283247254488,0.2895577266467618,8.442515843018228e-07
2019-03-22,1013,31.46287694251842,19.623763147289356,0.1088673402328373,5.130789905946709,1.7858440323134517,0.004065508775722177,1.4066353385323858,0.2933354057900145,1.6242032273225654e-06
2019-03-25,1013,31.36112337451801,19.499500282235594,0.10776862545492694,5.166102149454968,1.8515215652347095,0.0052676662095050815,1.631752431643058,0.569041842382672,0.004136714838896718
2019-03-26,1013,31.350634235994427,19.51614859592334,0.10818725327984606,5.185330757621832,1.8290314507620529,0.004582360001203287,1.6285021595937388,0.5093155190530348,0.0013865670156022443
2019-03-27,1013,31.339773343486485,19.52649157829241,0.10849657315581027,5.203307761827966,1.8032755593363021,0.003908226623674071,1.6154875719887556,0.45000168861326734,0.0003307300908281317
2019-03-28,1013,31.0202088962533,19.15675614600399,0.10538639417013076,5.227945422478077,1.7978101257950116,0.0036380425665592225,2.001554809141627,0.8390629160066957,0.017057568056660796
2019-03-29,1014,31.02059223572202,19.05994156972207,0.10362496614142068,5.23557457564116,1.8256696143939448,0.0041339450961255155,2.066058126931648,0.9088919881604302,0.023016459258409932
2019-04-01,1014,31.06359090292093,19.10113935287045,0.10389244217038034,5.209328078555534,1.8207771963536594,0.0042224522291933,2.019016049260074,0.8964675388690408,0.024310209710656523
2019-04-02,1014,31.11506871216213,19.05487461955414,0.10248601252201064,5.202740676304653,1.7775492212473945,0.003423392117804423,2.0290092502163373,0.7557815265644935,0.00726056871230464
2019-04-03,1014,31.2341411319929,19.13280280970151,0.10257595273035379,5.190928917614487,1.754969405610566,0.00309797035892512,2.1008524209781005,0.7942043029686976,0.008163559800167046
2019-04-04,1014,31.73001051236666,19.00571714436853,0.09501868733460948,5.309479178295081,1.6537340222085042,0.001324579696901246,2.2494580733990137,0.746724502768225,0.0025916202167868265
2019-04-05,1015,31.56698514636217,18.948850706231955,0.09573233748550157,5.27281369601447,1.6659598788873244,0.001550667377693722,2.230133151828592,0.7570967519648675,0.0032228908393266997
2019-04-08,1015,31.644403659341926,18.753331100509726,0.09152612816743066,5.342584593644231,1.5618266456218608,0.0006245369397363026,2.2664445292507684,0.7007517104652903,0.0012193929937591333
2019-04-09,1015,31.546818864978306,18.725410774652794,0.092045236375873,5.3090919623509985,1.5638746532138386,0.0006867068508756031,2.2089865663460433,0.6826115078250768,0.0012118272045482114
2019-04-10,1015,31.531603654524773,18.711774753494957,0.09196523837622607,5.308508199512621,1.5522895539079202,0.0006266891473721195,2.1952574619224685,0.6501142133455373,0.0007335412581846101
2019-04-11,1015,31.511090910127916,18.71594103975997,0.09224936292383312,5.269045669067632,1.547951370642692,0.0006643515397951491,2.1436134960763122,0.6342842390133844,0.0007259702258194901
