spec,Variable,Coefficient,Std_Error,t_stat,p_value
(4) + Peer Flow,Peer_Agg_Flow,0.5321253991128996,0.277987160251566,1.9142085506084159,0.0555935136476842
(4) + Peer Flow,R²,0.008527104136255126,,,
(4) + Peer Flow,N,10027.0,,,
(5) + Events,CumRet_1_5,-1.1593639447207778,57.51918694523212,-0.020156125395595144,0.9839188276299711
(5) + Events,CumRet_6_20,35.36392924771113,9.234259470588004,3.8296443109865614,0.00012832861008776818
(5) + Events,CumRet_21_60,28.91136776219748,9.093081470214603,3.179490677269292,0.0014753411513237968
(5) + Events,VIX_Change,-2.1262679397165605,1.3115953689826725,-1.6211310210448378,0.10498954234129586
(5) + Events,VIX_Lag_Change,-1.4439123492202868,0.8404622462664844,-1.717997870379614,0.08579700371918804
(5) + Events,month_end,-1.841398958953989,0.7733761194968453,-2.3809876107268404,0.017266292649408568
(5) + Events,quarter_end,-0.04147781646834248,1.3340884853283779,-0.031090753667762122,0.9751971636106024
(5) + Events,january,5.8877100090976295,2.233873058181859,2.635651111656996,0.00839760253104426
(5) + Events,Peer_Agg_Flow,0.45381145598809325,0.2999524795830148,1.512944505806282,0.130293755609443
(5) + Events,event_covid,3.348276761724631,4.144085280795417,0.8079652166525787,0.4191106060999992
(5) + Events,event_ukraine,9.139832522004417,5.993019528991076,1.525079716124854,0.127239215808208
(5) + Events,event_fed_hikes,-0.42704690016291,0.6425140885901343,-0.6646498617640854,0.5062744694520613
(5) + Events,event_banking_crisis,-2.5968482734961658,1.905952640364352,-1.3624935995260294,0.17304216270712613
(5) + Events,event_arkb_approval,-11.78505622027387,6.318129257881318,-1.8652762137737264,0.06214269747102581
(5) + Events,R²,0.00931736443550324,,,
(5) + Events,N,10027.0,,,
(6) Two-way FE,CumRet_1_5,19.046548148679936,85.03126226266188,0.22399465375269953,0.8227677914006133
(6) Two-way FE,CumRet_6_20,23.351568721988187,26.974245128134065,0.8656986918841545,0.3866841382745636
(6) Two-way FE,CumRet_21_60,8.973043496052382,13.418907650671363,0.6686865823689793,0.5037167740273887
(6) Two-way FE,VIX_Change,1.3637214465870813,2.7575064164713514,0.49454878452546636,0.6209336863196979
(6) Two-way FE,VIX_Lag_Change,0.19261639622711732,0.8691651399583763,0.221610816370686,0.8246231194137037
(6) Two-way FE,Peer_Agg_Flow,-1.3269049983933452,0.4053460030477561,-3.27351198338328,0.0010671894463341047
(6) Two-way FE,R²,-0.007605862946914899,,,
(6) Two-way FE,N,10027.0,,,
(7) Two-way Cluster,CumRet_1_5,-1.1593639447208004,53.062232711524466,-0.021849136108232414,0.9825687342022795
(7) Two-way Cluster,CumRet_6_20,35.36392924771113,9.128998143801315,3.873801778755274,0.00010783350967114025
(7) Two-way Cluster,CumRet_21_60,28.91136776219744,9.385366046067013,3.08047311317313,0.0020723265678981306
(7) Two-way Cluster,VIX_Change,-2.126267939716562,1.2211335472187588,-1.741224737097206,0.08167492377106322
(7) Two-way Cluster,VIX_Lag_Change,-1.4439123492202852,0.8087272634232437,-1.7854132221391679,0.07422459117248881
(7) Two-way Cluster,month_end,-1.841398958953968,1.0316532932437117,-1.784900965288701,0.0743076634781088
(7) Two-way Cluster,quarter_end,-0.04147781646835139,1.4160509787509146,-0.029291188728910445,0.9766329383734504
(7) Two-way Cluster,january,5.8877100090976215,3.068817637263068,1.9185597533089613,0.055068491591384605
(7) Two-way Cluster,Peer_Agg_Flow,0.45381145598808437,0.3174459130308787,1.429570951647253,0.1528714146885941
(7) Two-way Cluster,event_covid,3.348276761724657,3.9240315115202877,0.8532746874979691,0.39352741668108293
(7) Two-way Cluster,event_ukraine,9.139832522004374,5.730438825271605,1.5949620614911937,0.11075229905558626
(7) Two-way Cluster,event_fed_hikes,-0.42704690016292485,0.7485017089110644,-0.5705356381673482,0.5683272677759983
(7) Two-way Cluster,event_banking_crisis,-2.5968482734962035,2.0725592180953676,-1.25296698440426,0.21024699882212516
(7) Two-way Cluster,event_arkb_approval,-11.785056220273853,5.959713817866114,-1.9774533778693275,0.04801780199327599
(7) Two-way Cluster,R²,0.009317364435503683,,,
(7) Two-way Cluster,N,10027.0,,,
