lag,correlation,p_value,ETF
11.0,,,GII
12.0,,,GII
13.0,,,GII
14.0,,,GII
15.0,,,GII
16.0,,,GII
17.0,,,GII
18.0,,,GII
19.0,,,GII
20.0,,,GII
-20.0,,,GNR
-19.0,,,GNR
-18.0,,,GNR
-17.0,,,GNR
-16.0,,,GNR
-15.0,,,GNR
-14.0,,,GNR
-13.0,,,GNR
-12.0,,,GNR
-11.0,,,GNR
-10.0,,,GNR
-9.0,,,GNR
-8.0,,,GNR
-7.0,,,GNR
-6.0,,,GNR
-5.0,,,GNR
-4.0,,,GNR
-3.0,,,GNR
-2.0,,,GNR
-1.0,,,GNR
0.0,,,GNR
1.0,,,GNR
2.0,,,GNR
3.0,,,GNR
4.0,,,GNR
5.0,,,GNR
6.0,,,GNR
7.0,,,GNR
8.0,,,GNR
9.0,,,GNR
10.0,,,GNR
11.0,,,GNR
12.0,,,GNR
13.0,,,GNR
14.0,,,GNR
15.0,,,GNR
16.0,,,GNR
17.0,,,GNR
18.0,,,GNR
19.0,,,GNR
20.0,,,GNR
-20.0,,,GRID
-19.0,,,GRID
-18.0,,,GRID
-17.0,,,GRID
-16.0,,,GRID
-15.0,,,GRID
-14.0,,,GRID
-13.0,,,GRID
-12.0,,,GRID
-11.0,,,GRID
-10.0,,,GRID
-9.0,,,GRID
-8.0,,,GRID
-7.0,,,GRID
-6.0,,,GRID
-5.0,,,GRID
-4.0,,,GRID
-3.0,,,GRID
-2.0,,,GRID
-1.0,,,GRID
0.0,,,GRID
1.0,,,GRID
2.0,,,GRID
3.0,,,GRID
4.0,,,GRID
5.0,,,GRID
6.0,,,GRID
7.0,,,GRID
8.0,,,GRID
9.0,,,GRID
10.0,,,GRID
11.0,,,GRID
12.0,,,GRID
13.0,,,GRID
14.0,,,GRID
15.0,,,GRID
16.0,,,GRID
17.0,,,GRID
18.0,,,GRID
19.0,,,GRID
20.0,,,GRID
-20.0,,,GUNR
-19.0,,,GUNR
-18.0,,,GUNR
-17.0,,,GUNR
-16.0,,,GUNR
-15.0,,,GUNR
-14.0,,,GUNR
-13.0,,,GUNR
-12.0,,,GUNR
-11.0,,,GUNR
-10.0,,,GUNR
-9.0,,,GUNR
-8.0,,,GUNR
-7.0,,,GUNR
-6.0,,,GUNR
-5.0,,,GUNR
-4.0,,,GUNR
-3.0,,,GUNR
-2.0,,,GUNR
-1.0,,,GUNR
0.0,,,GUNR
1.0,,,GUNR
2.0,,,GUNR
3.0,,,GUNR
4.0,,,GUNR
5.0,,,GUNR
6.0,,,GUNR
7.0,,,GUNR
