lag,correlation,p_value,ETF
-13.0,0.07846738937907073,0.8084731834307494,BUG
-12.0,0.5126875556482762,0.07320904260730168,BUG
-11.0,0.39029542860411426,0.16769115058658288,BUG
-10.0,-0.1946604573052912,0.4869254695299428,BUG
-9.0,-0.0014351438078264167,0.9957912899394885,BUG
-8.0,-0.1975034041127861,0.4473548337374459,BUG
-7.0,-0.25279216329938275,0.3115040618823876,BUG
-6.0,-0.14257810587319023,0.56037834989706,BUG
-5.0,-0.09653151050797439,0.6855857576917632,BUG
-4.0,0.1175880867258853,0.6117146225079813,BUG
-3.0,0.13724699958007308,0.5424832092230916,BUG
-2.0,0.43624059500116996,0.03743168582039673,BUG
-1.0,0.28380003286462374,0.1789687903634419,BUG
0.0,0.24970350658418194,0.22867386719736513,BUG
1.0,0.3220109846496381,0.12490251654652715,BUG
2.0,0.32273892665292575,0.1330932858047027,BUG
3.0,0.24550526190403643,0.27078032059828744,BUG
4.0,-0.24636686801303154,0.2816738762522873,BUG
5.0,0.6053858376946233,0.004676847721561817,BUG
6.0,0.11723860744043713,0.6326559052363832,BUG
7.0,-0.08686964969257052,0.7317892299774398,BUG
8.0,-0.032622142501841506,0.9010844700595303,BUG
9.0,-0.19785160289066475,0.46263282910966486,BUG
10.0,-0.30873001531597627,0.26288317503483694,BUG
11.0,-0.5989546613788402,0.023613746377803353,BUG
12.0,-0.28391052247298926,0.34718901968228866,BUG
13.0,-0.2647809928429532,0.4055852490729678,BUG
14.0,0.32918237210514845,0.32291158005833565,BUG
15.0,0.08009992412820983,0.8259012969114727,BUG
-20.0,-0.29372539453980917,0.12197842607564725,CGW
-19.0,0.043939572535125496,0.8176630392716411,CGW
-18.0,-0.026144804870800134,0.8889683542057599,CGW
-17.0,0.1090436782847024,0.5524596659775184,CGW
-16.0,0.2601132461745251,0.14376258570981343,CGW
-15.0,0.2930130232782216,0.09261178311642361,CGW
-14.0,0.09159789761780106,0.6007498809148508,CGW
-13.0,-0.05236941613111862,0.7616342371420497,CGW
-12.0,-0.04342294558422625,0.7985793740328759,CGW
-11.0,-0.1200269611680527,0.47289244526579366,CGW
-10.0,-0.06517932034519752,0.6934178823190528,CGW
-9.0,0.19730062343328345,0.22234792089594246,CGW
-8.0,-0.0251289848158395,0.8760704627610788,CGW
-7.0,0.05246826207740242,0.741400796963634,CGW
-6.0,-0.0916381613156226,0.558926737949777,CGW
-5.0,-0.02459466850812564,0.8740865898722575,CGW
-4.0,-0.042681562778505794,0.7807157023237566,CGW
-3.0,-0.3036881356661799,0.040192409794809925,CGW
-2.0,-0.16962836830277683,0.25433500616536275,CGW
-1.0,-0.026837583053138575,0.8563145715184144,CGW
0.0,0.1392240112722664,0.3400499328639375,CGW
1.0,0.17491278695916967,0.2344077996014266,CGW
2.0,0.018857834975959414,0.8998802469246517,CGW
3.0,0.0004813971669285072,0.997466611146987,CGW
