lag,correlation,p_value,ETF
-7,-0.03713964774280036,0.7452151736028655,ARKF
-6,0.14138164959412197,0.21095338387491716,ARKF
-5,0.03662260985946774,0.7454918243083577,ARKF
-4,0.1791631916279421,0.10727878207437395,ARKF
-3,0.00974577148855589,0.9303188107430793,ARKF
-2,0.10100705710923841,0.36060404282149483,ARKF
-1,0.040617521726780154,0.7120660064182985,ARKF
0,0.17142215051576953,0.11453175064489056,ARKF
1,0.11845274412924534,0.2802681299767352,ARKF
2,0.11982438576539389,0.27762483594687115,ARKF
3,0.1380374312811485,0.2133243776131145,ARKF
4,0.023546032918196822,0.8336878314279189,ARKF
5,0.0010577381636667944,0.992522589340153,ARKF
6,0.13611179718017702,0.22863885152652025,ARKF
7,0.12202799475215856,0.28402084142140555,ARKF
8,0.11378100215139589,0.32125197937064043,ARKF
9,0.08624421556872641,0.4557865570992841,ARKF
10,0.04251784116742728,0.7153474065598944,ARKF
11,-0.24612483848799263,0.03329030179577648,ARKF
12,-0.08759881719990496,0.45799472322322954,ARKF
13,-0.0525075622496841,0.6590782055849356,ARKF
14,-0.03930265730091015,0.7430748671876156,ARKF
15,-0.002218927241047589,0.9853475477154086,ARKF
16,-0.07404698279841535,0.5423893506789076,ARKF
17,-0.09604671867925213,0.43241482687079213,ARKF
18,-0.09891045909633822,0.4222722592707123,ARKF
19,-0.0439206266353604,0.7241554116052855,ARKF
20,0.010896053808023758,0.9308056972272615,ARKF
-20,-0.1195859791095293,0.19710559752619286,ARKG
-19,0.05890917408132186,0.5245202064102694,ARKG
-18,0.0032148851886494995,0.9722003290938352,ARKG
-17,-0.07906128677936618,0.38868901045039655,ARKG
-16,-0.21675985565910738,0.01647908489706179,ARKG
-15,-0.19230072141500276,0.03309966810409403,ARKG
-14,-0.14876627610284607,0.0991469937341821,ARKG
-13,-0.11348154590398969,0.2076366172584797,ARKG
-12,-0.12455397535894187,0.16465080368630217,ARKG
-11,-0.11270886796275328,0.20708191951337065,ARKG
-10,-0.10308995321890345,0.2468736638709252,ARKG
-9,-0.07551291289639232,0.3950309902278006,ARKG
-8,-0.02264314532297724,0.798174082311616,ARKG
-7,-0.046056992656477086,0.601411716440657,ARKG
-6,0.08541823518463058,0.33014200028003204,ARKG
-5,0.04835238181219642,0.5804779988689708,ARKG
-4,0.04986919566186873,0.5671691519275728,ARKG
-3,-0.03805806461822976,0.6612111279253176,ARKG
-2,0.029956569922046438,0.7291895947064893,ARKG
-1,0.044493181480740024,0.6056704433041303,ARKG
0,0.2523578035688959,0.002826035764823325,ARKG
1,0.25695376602115505,0.0024368727910547296,ARKG
2,0.19349645785407826,0.024002823021126208,ARKG
3,0.08601000027087499,0.3212499471090774,ARKG
4,0.11347343072780419,0.19173469349795333,ARKG
5,0.11330292322626626,0.19410711670488223,ARKG
6,0.13943058864299113,0.11082451845371677,ARKG
7,0.1756605904168861,0.04476123437478741,ARKG
8,0.2351760837327282,0.007072574632945637,ARKG
9,0.08460228867045375,0.34046095123175496,ARKG
10,-0.015350792506684335,0.8634526149443665,ARKG
11,-0.058645444131951385,0.5125128000435036,ARKG
12,-0.058488933343189636,0.5153365459606969,ARKG
13,0.04195829469603596,0.6422180160044197,ARKG
14,0.09324912887877747,0.3029591088860961,ARKG
