lag,correlation,p_value,ETF
5,0.004310420932436044,0.9743821646988986,ARKF
6,0.138108498913164,0.30559181568295735,ARKF
7,0.11396233366619203,0.40298008730415713,ARKF
8,0.030550522471518144,0.824768267687742,ARKF
9,-0.03381436067107095,0.8082076482821727,ARKF
10,0.008328533207353035,0.9528025053320397,ARKF
11,-0.0722741720596323,0.6106303345906336,ARKF
12,-0.10006882156368438,0.484755503468044,ARKF
13,-0.17414765809808536,0.22645840673435025,ARKF
14,-0.05861887173850942,0.6890949333013777,ARKF
15,0.014469202444846715,0.9222434363267784,ARKF
16,-0.13720468106203626,0.3577512038578006,ARKF
17,-0.010496746913226898,0.9448025659884163,ARKF
18,0.006751955074851615,0.964888950218209,ARKF
19,0.046837901486765365,0.7627214047660758,ARKF
20,-0.05880292604731016,0.7079887947723906,ARKF
-20,-0.03386560515405278,0.744571993907305,ARKG
-19,0.22544050900171428,0.027213991568595018,ARKG
-18,0.19187559134895343,0.05972861855501473,ARKG
-17,-0.01900709471015663,0.8526304705930339,ARKG
-16,-0.22210525145696422,0.027137896791480515,ARKG
-15,-0.25861496220900054,0.009377085361733107,ARKG
-14,-0.07486857470780893,0.4568162859373987,ARKG
-13,-0.1335693703015667,0.18077766357276417,ARKG
-12,-0.10281366488074196,0.3013924381027807,ARKG
-11,-0.18368728937813925,0.06196797105289663,ARKG
-10,-0.06678104612501523,0.49849044589191877,ARKG
-9,-0.16595294058501514,0.08910425193168083,ARKG
-8,-0.03963338743303663,0.6852460212569892,ARKG
-7,-0.12452506394896595,0.19912505822235838,ARKG
-6,0.10188933064337266,0.2917737635884178,ARKG
-5,0.02202246755225208,0.8193642440088442,ARKG
-4,0.06757256970054834,0.48101672876372764,ARKG
-3,-0.08430864346230474,0.37680193628580055,ARKG
-2,-0.004253123689473129,0.9643393924918002,ARKG
-1,0.04777973065766637,0.6136893119525255,ARKG
0,0.2522794719569125,0.006528508609216021,ARKG
1,0.27976546604303265,0.002573215457224258,ARKG
2,0.19280268208066625,0.0407592248605671,ARKG
3,0.061740633799428256,0.5178334560532154,ARKG
4,0.10112486482186132,0.29093807927278736,ARKG
5,0.06684229615931045,0.48779759935690653,ARKG
6,-0.0014072561505299817,0.9884128837826909,ARKG
7,-0.02178359790899237,0.8229330708703253,ARKG
8,0.07998041408419444,0.41283233146948295,ARKG
9,0.06290993285597386,0.5217483289165752,ARKG
10,-0.06514588215393642,0.5090884819678837,ARKG
11,-0.1496573244688339,0.12943885457717333,ARKG
12,-0.10599438683128018,0.2866034526796479,ARKG
13,0.09322384146527822,0.3513662790677585,ARKG
14,0.05915108733783088,0.556816600249675,ARKG
15,-0.05570691161476175,0.5819811889887655,ARKG
16,-0.006805851674702651,0.9466946630692734,ARKG
17,0.09875638534454946,0.3333130311063162,ARKG
18,0.1783772758388392,0.08044905942141108,ARKG
19,-0.015572453487196145,0.8803001967070913,ARKG
20,-0.0729902456888861,0.4820922827588942,ARKG
-20,-0.07095632860705477,0.4944152619286121,ARKK
-19,0.05951329851040605,0.5646278127759639,ARKK
-18,0.1735556384143505,0.08911333802102216,ARKK
-17,0.08555792627558478,0.40222705804966086,ARKK
-16,-0.06428724341613706,0.5272687847895877,ARKK
-15,-0.1575605066887756,0.11744420773297157,ARKK
-14,-0.18533098203045983,0.0635279499925026,ARKK
-13,-0.21713175949490587,0.02837083170773667,ARKK
-12,-0.20262126317756607,0.040108679664371864,ARKK
-11,-0.25816481304329797,0.008145754933408677,ARKK
-10,-0.18095190544393663,0.06470505732979205,ARKK
-9,-0.20557204968133563,0.0345124503257445,ARKK
-8,-0.04104877944000396,0.6746303883728685,ARKK
-7,-0.12091841416884112,0.21255210759726442,ARKK
-6,-0.012074991729612721,0.9008261806744157,ARKK
-5,0.0009797242949301926,0.9918951840788799,ARKK
-4,0.057162220737168375,0.5512343282440845,ARKK
-3,0.0031947195241819075,0.9733312695964583,ARKK
-2,-0.03937372411403809,0.6788335632024878,ARKK
-1,0.03518768905215956,0.7101338114340882,ARKK
0,0.20601253457638607,0.027184746717402904,ARKK
1,0.21078318486400432,0.024379167050520616,ARKK
2,0.16792639710650273,0.07542321465942985,ARKK
3,0.08843103619102971,0.3538303572942831,ARKK
4,0.13375623294832917,0.16164677425330032,ARKK
5,0.14011508160127867,0.1442998074577869,ARKK
6,0.09553992896323767,0.3230403610007735,ARKK
7,0.08742703248211231,0.3682690286446453,ARKK
8,0.08390824751983014,0.39018838644072645,ARKK
9,0.0049425782410230795,0.9598961569818302,ARKK
10,0.014810935718600336,0.8807974213886343,ARKK
11,-0.0584341770107012,0.5557167313252334,ARKK
12,-0.0701833907367126,0.48114627788894426,ARKK
13,-0.0022967509232112993,0.981721909400559,ARKK
14,0.005905873629581421,0.953258753968893,ARKK
15,-0.04292295827461187,0.6715449428949951,ARKK
16,-0.05433843716856439,0.5932107550709567,ARKK
17,-0.040249960014586354,0.6939491892718274,ARKK
18,0.14296851832868895,0.1624103682820015,ARKK
19,0.10895319311591842,0.2906556373791961,ARKK
20,-0.10913988937894524,0.29241867992141785,ARKK
-20,0.23515277567806872,0.4619023836547741,ARKQ
-19,-0.3772054599059154,0.203880321614094,ARKQ
-18,-0.05159665901527216,0.8609439916196848,ARKQ
-17,-0.06164771146113704,0.8272316774873235,ARKQ
-16,-0.1935251423876415,0.472670655813205,ARKQ
-15,-0.05827821100852768,0.8241795908788042,ARKQ
-14,-0.3242199129726597,0.1893203283104099,ARKQ
-13,0.30741195296749624,0.2004461489727677,ARKQ
-12,-0.07585730357661605,0.7505921081847602,ARKQ
-11,-0.02440212150094106,0.9163818950655959,ARKQ
-10,-0.04739709971673509,0.8340950234581992,ARKQ
-9,-0.15236146024142147,0.4876695970829851,ARKQ
-8,-0.26779966337895006,0.20581035469869385,ARKQ
-7,0.1122389499769115,0.5932332804808009,ARKQ
-6,-0.19046107528550996,0.35135097737767507,ARKQ
-5,0.20962401206241602,0.2939879920848216,ARKQ
-4,0.15159699109311064,0.4412585383033355,ARKQ
-3,0.023409141601766867,0.9040607696028956,ARKQ
-2,-0.02841708043083732,0.8815039809331565,ARKQ
-1,-0.04691426968195092,0.8021146372016559,ARKQ
0,0.08926648865405094,0.6270743705817162,ARKQ
1,-0.10185353875888595,0.58560676586947,ARKQ
2,-0.23520163607433117,0.2108783165467205,ARKQ
3,0.534678990935665,0.002806744209089531,ARKQ
4,0.27013306041582485,0.16445461671936812,ARKQ
5,0.08984147276836531,0.655854928313398,ARKQ
6,-0.009743039219340645,0.9623238608198981,ARKQ
7,0.12689756662799528,0.5455403871378092,ARKQ
8,-0.006131299519722466,0.9773161876569895,ARKQ
9,0.1691544534648151,0.44036214885838565,ARKQ
10,-0.4672350364710234,0.028346736644429417,ARKQ
11,0.26220454188567144,0.25087495338046084,ARKQ
12,-0.06932545725435765,0.7714954365819319,ARKQ
13,0.47239928134001724,0.04111726437442932,ARKQ
14,0.29153710102231456,0.24047234432870873,ARKQ
15,-0.05202122671037526,0.8428223405340288,ARKQ
16,-0.15606332979686344,0.5638241410811216,ARKQ
17,-0.25931258966245935,0.35067109605571567,ARKQ
18,-0.15503572435479676,0.5966494601990205,ARKQ
19,0.14925046781911583,0.6265071238701476,ARKQ
20,0.3055875611264215,0.33407872672319144,ARKQ
